SKU;Descricao SKU;PEP;Cod. ;Desc. BIOS;PLM
1305084;POSITIVO MASTER D610 SF8256ANEB150VCN;SEMPEP;11132270;BIOS POS-PIB150DT R3 V.0620.X DVI KL PD;PIB150DT
1305094;POSITIVO MASTER D610 SF81T0ANEB150ACN-2;SEMPEP;11123579;BIOS POS-PIB150DT R3 V.0412.I DVI GUI SL;PIB150DT
1305096;POSITIVO MASTER D2100 TS81T0NNAH1100CN0;SEMPEP;11130175;BIOS POS-EIH110EA 1108.L;EIH110EA
1305097;POSITIVO MASTER D610 H4-00678 USIMINAS I;H4-00678;11128161;BIOS POS-PIB150DT R3 V.0620.L DVI KL;PIB150DT
1305099;POSITIVO MASTER D610 SF81T0ANEB150VCN-1;SEMPEP;11132270;BIOS POS-PIB150DT R3 V.0620.X DVI KL PD;PIB150DT
1305100;POSITIVO MASTER D610 SF81T0ANEB1500AN0;SEMPEP;11132270;BIOS POS-PIB150DT R3 V.0620.X DVI KL PD;PIB150DT
1305102;POSITIVO MASTER D210 SF8500ANEH1100AN0;SEMPEP;11128095;BIOS POS-PIH110DV V0206.L KL;PIH110DV
1305109;POSITIVO MASTER D3100 ST41T0ANEH1100AN0;SEMPEP;11130175;BIOS POS-EIH110EA 1108.L;EIH110EA
1305110;POSITIVO MASTER D3100 ST41T0ANEH110UCN0;SEMPEP;11130186;BIOS POS-EIH110EA 171202.X;EIH110EA
1305111;POSITIVO MASTER D3100 ST41T0ANEH110VCN0;SEMPEP;11130186;BIOS POS-EIH110EA 171202.X;EIH110EA
1305112;POSITIVO MASTER D3100 SF81T0ANEH1100AN0;SEMPEP;11130175;BIOS POS-EIH110EA 1108.L;EIH110EA
1305113;POSITIVO MASTER D3100 SF81T0ANEH110VCN0;SEMPEP;11130186;BIOS POS-EIH110EA 171202.X;EIH110EA
1305116;POSITIVO MASTER D3100 SS81T0ANEH1100AN0;SEMPEP;11130175;BIOS POS-EIH110EA 1108.L;EIH110EA
1305128;POSITIVO MASTER D610 SF81T0ANEB150VCN-2;SEMPEP;11132270;BIOS POS-PIB150DT R3 V.0620.X DVI KL PD;PIB150DT
